timestamp,Puzzle Number,Object Number,Failure type,State
1713855029.1453202,4.0,1.0,0.0,0.0
1713855034.1473048,4.0,1.0,0.0,1.0
1713855035.7050054,4.0,1.0,0.0,2.0
1713855040.707298,4.0,1.0,0.0,3.0
1713855042.265126,4.0,1.0,0.0,4.0
1713855047.2679758,4.0,1.0,0.0,5.0
1713855061.3292317,4.0,1.0,0.0,6.0
1713855067.3354592,4.0,1.0,0.0,7.0
1713855068.8943658,4.0,1.0,0.0,8.0
1713855073.899458,4.0,1.0,0.0,9.0
1713855105.3604033,4.0,2.0,0.0,0.0
1713855110.3631225,4.0,2.0,0.0,1.0
1713855111.9208715,4.0,2.0,0.0,2.0
1713855116.9233832,4.0,2.0,0.0,3.0
1713855118.4819145,4.0,2.0,0.0,4.0
1713855123.487724,4.0,2.0,0.0,5.0
1713855137.5481074,4.0,2.0,0.0,6.0
1713855143.5513709,4.0,2.0,0.0,7.0
1713855145.1089373,4.0,2.0,0.0,8.0
1713855150.1118197,4.0,2.0,0.0,9.0
1713855161.7281978,4.0,3.0,1.0,0.0
1713855166.7311144,4.0,3.0,1.0,1.0
1713855168.288532,4.0,3.0,1.0,2.0
1713855173.2915573,4.0,3.0,1.0,3.0
1713855174.8472538,4.0,3.0,1.0,4.0
1713855189.859604,4.0,3.0,1.0,4.099999904632568
1713855196.4878101,4.0,3.0,1.0,5.0
1713855210.5479496,4.0,3.0,1.0,6.0
1713855216.5513022,4.0,3.0,1.0,7.0
1713855218.1095374,4.0,3.0,1.0,8.0
1713855223.1134098,4.0,3.0,1.0,9.0
1713855233.7809248,4.0,4.0,0.0,0.0
1713855238.7831697,4.0,4.0,0.0,1.0
1713855240.3393538,4.0,4.0,0.0,2.0
1713855245.3441746,4.0,4.0,0.0,3.0
1713855246.8996341,4.0,4.0,0.0,4.0
1713855251.9046073,4.0,4.0,0.0,5.0
1713855265.964941,4.0,4.0,0.0,6.0
1713855271.96738,4.0,4.0,0.0,7.0
1713855273.523808,4.0,4.0,0.0,8.0
1713855278.5274427,4.0,4.0,0.0,9.0
