timestamp,Puzzle Number,Object Number,Failure type,State
1714614008.6907787,2.0,1.0,2.0,0.0
1714614012.692218,2.0,1.0,2.0,1.0
1714614013.9568672,2.0,1.0,2.0,2.0
1714614016.9608262,2.0,1.0,2.0,3.0
1714614018.2217464,2.0,1.0,2.0,4.0
1714614060.5918887,2.0,1.0,2.0,0.0
1714614064.5956535,2.0,1.0,2.0,1.0
1714614065.857661,2.0,1.0,2.0,2.0
1714614068.8600252,2.0,1.0,2.0,3.0
1714614070.118665,2.0,1.0,2.0,4.0
1714614073.1237032,2.0,1.0,2.0,5.0
1714614078.6888154,2.0,1.0,2.0,5.099999904632568
1714614082.6921587,2.0,1.0,2.0,5.199999809265137
1714614087.9207165,2.0,1.0,2.0,5.300000190734863
1714614093.4772444,2.0,1.0,2.0,6.0
1714614097.4797404,2.0,1.0,2.0,7.0
1714614098.7426856,2.0,1.0,2.0,8.0
1714614101.7437255,2.0,1.0,2.0,9.0
1714614108.1353796,2.0,1.0,2.0,10.0
1714614167.2425392,2.0,2.0,0.0,0.0
1714614171.251848,2.0,2.0,0.0,1.0
1714614172.513291,2.0,2.0,0.0,2.0
1714614175.516595,2.0,2.0,0.0,3.0
1714614176.7746387,2.0,2.0,0.0,4.0
1714614179.7785394,2.0,2.0,0.0,5.0
1714614185.3430653,2.0,2.0,0.0,6.0
1714614189.3476608,2.0,2.0,0.0,7.0
1714614190.6084208,2.0,2.0,0.0,8.0
1714614193.6119292,2.0,2.0,0.0,9.0
1714614199.9912891,2.0,2.0,0.0,10.0
1714614248.8219972,2.0,3.0,0.0,0.0
1714614252.8236704,2.0,3.0,0.0,1.0
1714614254.0851583,2.0,3.0,0.0,2.0
1714614257.088938,2.0,3.0,0.0,3.0
1714614258.3521287,2.0,3.0,0.0,4.0
1714614261.3554218,2.0,3.0,0.0,5.0
1714614266.9162912,2.0,3.0,0.0,6.0
1714614270.9198096,2.0,3.0,0.0,7.0
1714614272.1829746,2.0,3.0,0.0,8.0
1714614275.1834857,2.0,3.0,0.0,9.0
1714614281.5631611,2.0,3.0,0.0,10.0
1714614295.1131132,2.0,4.0,0.0,0.0
1714614299.1155152,2.0,4.0,0.0,1.0
1714614300.3779213,2.0,4.0,0.0,2.0
1714614303.3802638,2.0,4.0,0.0,3.0
1714614304.6417732,2.0,4.0,0.0,4.0
1714614307.6433835,2.0,4.0,0.0,5.0
1714614313.2017326,2.0,4.0,0.0,6.0
1714614317.2035584,2.0,4.0,0.0,7.0
1714614318.4632783,2.0,4.0,0.0,8.0
1714614321.4665902,2.0,4.0,0.0,9.0
1714614327.8678277,2.0,4.0,0.0,10.0
1714614389.8584108,4.0,1.0,0.0,0.0
